,train,val,test
IN Brain-0313(a),True,False,False
IN Brain-0313(b),True,False,False
IN Brain-0321(a),True,False,False
IN Brain-0325(b),True,False,False
IN Brain-0331(b),True,False,False
IN Brain-0353,True,False,False
IN Brain-0358,True,False,False
IN Brain-0363(a),True,False,False
IN Brain-0363(b),True,False,False
IN Brain-0365,True,False,False
IN Brain-0369,True,False,False
IN Brain-0008(a),True,False,False
IN Brain-0013(a),True,False,False
IN Brain-0013(b),True,False,False
IN Brain-0020,True,False,False
IN Brain-0021,True,False,False
IN Brain-0024,True,False,False
IN Brain-0029(a),True,False,False
IN Brain-0029(b),True,False,False
IN Brain-0029(c),True,False,False
IN Brain-0036(a),True,False,False
IN Brain-0040(a),True,False,False
IN Brain-0040(b),True,False,False
IN Brain-0041(b),True,False,False
IN Brain-0046,True,False,False
IN Brain-0059(a),True,False,False
IN Brain-0059(b),True,False,False
IN Brain-0059(c),True,False,False
IN Brain-0061(a),True,False,False
IN Brain-0061(b),True,False,False
IN Brain-0063(a),True,False,False
IN Brain-0063(b),True,False,False
IN Brain-0066,True,False,False
IN Brain-0071(a),True,False,False
IN Brain-0071(c),True,False,False
IN Brain-0072(a),True,False,False
IN Brain-0072(c),True,False,False
IN Brain-0073(a),True,False,False
IN Brain-0073(b),True,False,False
IN Brain-0079(a),True,False,False
IN Brain-0079(b),True,False,False
IN Brain-0080(a),True,False,False
IN Brain-0080(b),True,False,False
IN Brain-0082,True,False,False
IN Brain-0085(a),True,False,False
IN Brain-0085(b),True,False,False
IN Brain-0088(a),True,False,False
IN Brain-0088(b),True,False,False
IN Brain-0091,True,False,False
IN Brain-0092(b),True,False,False
IN Brain-0093,True,False,False
IN Brain-0094(a),True,False,False
IN Brain-0094(b),True,False,False
IN Brain-0094(c),True,False,False
IN Brain-0094(d),True,False,False
IN Brain-0094(e),True,False,False
IN Brain-0094(g),True,False,False
IN Brain-0094(i),True,False,False
IN Brain-0094(j),True,False,False
IN Brain-0095(a),True,False,False
IN Brain-0095(b),True,False,False
IN Brain-0095(c),True,False,False
IN Brain-0096(a),True,False,False
IN Brain-0096(b),True,False,False
IN Brain-0098(a),True,False,False
IN Brain-0098(b),True,False,False
IN Brain-0100,True,False,False
IN Brain-0102(a),True,False,False
IN Brain-0102(b),True,False,False
IN Brain-0103,True,False,False
IN Brain-0105(a),True,False,False
IN Brain-0105(b),True,False,False
IN Brain-0107,True,False,False
IN Brain-0111,True,False,False
IN Brain-0113,True,False,False
IN Brain-0114(a),True,False,False
IN Brain-0114(b),True,False,False
IN Brain-0117,True,False,False
IN Brain-0118(b),True,False,False
IN Brain-0119,True,False,False
IN Brain-0122,True,False,False
IN Brain-0125,True,False,False
IN Brain-0128,True,False,False
IN Brain-0129,True,False,False
IN Brain-0131,True,False,False
IN Brain-0132,True,False,False
IN Brain-0133,True,False,False
IN Brain-0134,True,False,False
IN Brain-0136,True,False,False
IN Brain-0137,True,False,False
IN Brain-0139,True,False,False
IN Brain-0141,True,False,False
IN Brain-0144,True,False,False
IN Brain-0145,True,False,False
IN Brain-0146,True,False,False
IN Brain-0151,True,False,False
IN Brain-0155(a),True,False,False
IN Brain-0155(b),True,False,False
IN Brain-0156(a),True,False,False
IN Brain-0156(b),True,False,False
IN Brain-0163(a),True,False,False
IN Brain-0164,True,False,False
IN Brain-0166,True,False,False
IN Brain-0167,True,False,False
IN Brain-0168(a),True,False,False
IN Brain-0168(b),True,False,False
IN Brain-0170,True,False,False
IN Brain-0171(a),True,False,False
IN Brain-0171(b),True,False,False
IN Brain-0172,True,False,False
IN Brain-0173(b),True,False,False
IN Brain-0179(a),True,False,False
IN Brain-0179(b),True,False,False
IN Brain-0182(a),True,False,False
IN Brain-0182(b),True,False,False
IN Brain-0183(a),True,False,False
IN Brain-0183(b),True,False,False
IN Brain-0185(a),True,False,False
IN Brain-0185(b),True,False,False
IN Brain-0186(a),True,False,False
IN Brain-0186(b),True,False,False
IN Brain-0188,True,False,False
IN Brain-0189,True,False,False
IN Brain-0192(a),True,False,False
IN Brain-0195,True,False,False
IN Brain-0196(a),True,False,False
IN Brain-0196(b),True,False,False
IN Brain-0197(a),True,False,False
IN Brain-0197(b),True,False,False
IN Brain-0201,True,False,False
IN Brain-0206,True,False,False
IN Brain-0207,True,False,False
IN Brain-0208,True,False,False
IN Brain-0209(a),True,False,False
IN Brain-0216(a),True,False,False
IN Brain-0216(b),True,False,False
IN Brain-0217(a),True,False,False
IN Brain-0217(b),True,False,False
IN Brain-0219,True,False,False
IN Brain-0227,True,False,False
IN Brain-0228(a),True,False,False
IN Brain-0228(b),True,False,False
IN Brain-0229,True,False,False
IN Brain-0231,True,False,False
IN Brain-0233(a),True,False,False
IN Brain-0233(b),True,False,False
IN Brain-0244,True,False,False
IN Brain-0246,True,False,False
IN Brain-0247,True,False,False
IN Brain-0248,True,False,False
IN Brain-0254,True,False,False
IN Brain-0255(a),True,False,False
IN Brain-0256(b),True,False,False
IN Brain-0257,True,False,False
IN Brain-0258(a),True,False,False
IN Brain-0258(b),True,False,False
IN Brain-0262(a),True,False,False
IN Brain-0262(b),True,False,False
IN Brain-0264,True,False,False
IN Brain-0265(a),True,False,False
IN Brain-0265(b),True,False,False
IN Brain-0267,True,False,False
IN Brain-0270,True,False,False
IN Brain-0272,True,False,False
IN Brain-0273,True,False,False
IN Brain-0277,True,False,False
IN Brain-0281,True,False,False
IN Brain-0282,True,False,False
IN Brain-0284(b),True,False,False
IN Brain-0285,True,False,False
IN Brain-0286,True,False,False
IN Brain-0289,True,False,False
IN Brain-0290(a),True,False,False
IN Brain-0291,True,False,False
IN Brain-0295,True,False,False
IN Brain-0298(a),True,False,False
IN Brain-0298(b),True,False,False
IN Brain-0301,True,False,False
IN Brain-0302(a),True,False,False
IN Brain-0302(b),True,False,False
IN Brain-0307(a),True,False,False
IN Brain-0307(b),True,False,False
IN Brain-0309,True,False,False
IN Brain-0311(a),True,False,False
IN Brain-0311(b),True,False,False
IN Brain-0312,True,False,False
IN Brain-0314(a),True,False,False
IN Brain-0314(b),True,False,False
IN Brain-0317(a),True,False,False
IN Brain-0319,True,False,False
IN Brain-0323(a),True,False,False
IN Brain-0323(b),True,False,False
IN Brain-0324(a),True,False,False
IN Brain-0324(b),True,False,False
IN Brain-0328,True,False,False
IN Brain-0342,True,False,False
IN Brain-0343(a),True,False,False
IN Brain-0343(b),True,False,False
IN Brain-0346,True,False,False
IN Brain-0354,True,False,False
IN Brain-0355,True,False,False
IN Brain-0360,True,False,False
IN Brain-0364,True,False,False
IN Brain-0366,True,False,False
IN Brain-0367,True,False,False
IN Brain-0368,True,False,False
IN Brain-0370,True,False,False
IN Brain-0002,True,False,False
IN Brain-0004(a),True,False,False
IN Brain-0004(b),True,False,False
IN Brain-0038,True,False,False
IN Brain-0064(a),True,False,False
IN Brain-0064(b),True,False,False
IN Brain-0070(a),True,False,False
IN Brain-0070(b),True,False,False
IN Brain-0075,True,False,False
IN Brain-0078,True,False,False
IN Brain-0081(a),True,False,False
IN Brain-0081(b),True,False,False
IN Brain-0099,True,False,False
IN Brain-0104(a),True,False,False
IN Brain-0104(b),True,False,False
IN Brain-0109(a),True,False,False
IN Brain-0109(b),True,False,False
IN Brain-0110(a),True,False,False
IN Brain-0110(b),True,False,False
IN Brain-0130,True,False,False
IN Brain-0138,True,False,False
IN Brain-0140,True,False,False
IN Brain-0143,True,False,False
IN Brain-0147,True,False,False
IN Brain-0153,True,False,False
IN Brain-0154,True,False,False
IN Brain-0160(a),True,False,False
IN Brain-0161(a),True,False,False
IN Brain-0169,True,False,False
IN Brain-0180(a),True,False,False
IN Brain-0180(b),True,False,False
IN Brain-0187(a),True,False,False
IN Brain-0187(b),True,False,False
IN Brain-0191(a),True,False,False
IN Brain-0194(a),True,False,False
IN Brain-0194(b),True,False,False
IN Brain-0198,True,False,False
IN Brain-0199,True,False,False
IN Brain-0200,True,False,False
IN Brain-0202(a),True,False,False
IN Brain-0202(b),True,False,False
IN Brain-0215,True,False,False
IN Brain-0218(a),True,False,False
IN Brain-0218(b),True,False,False
IN Brain-0220,True,False,False
IN Brain-0232(a),True,False,False
IN Brain-0232(b),True,False,False
IN Brain-0234(a),True,False,False
IN Brain-0234(b),True,False,False
IN Brain-0238(a),True,False,False
IN Brain-0238(b),True,False,False
IN Brain-0238(c),True,False,False
IN Brain-0240(a),True,False,False
IN Brain-0240(b),True,False,False
IN Brain-0242(a),True,False,False
IN Brain-0242(b),True,False,False
IN Brain-0261(a),True,False,False
IN Brain-0261(b),True,False,False
IN Brain-0263(a),True,False,False
IN Brain-0263(b),True,False,False
IN Brain-0279,True,False,False
IN Brain-0283,True,False,False
IN Brain-0287,True,False,False
IN Brain-0288,True,False,False
IN Brain-0296(b),True,False,False
IN Brain-0297(b),True,False,False
IN Brain-0299(a),True,False,False
IN Brain-0299(b),True,False,False
IN Brain-0304,True,False,False
IN Brain-0308,True,False,False
IN Brain-0316(a),True,False,False
IN Brain-0316(b),True,False,False
IN Brain-0318(a),True,False,False
IN Brain-0318(b),True,False,False
IN Brain-0320,True,False,False
IN Brain-0326,True,False,False
IN Brain-0329(b),True,False,False
IN Brain-0330(a),True,False,False
IN Brain-0330(b),True,False,False
IN Brain-0334(a),True,False,False
IN Brain-0334(b),True,False,False
IN Brain-0348,True,False,False
IN Brain-0350,True,False,False
IN Brain-0352,True,False,False
IN Brain-0361,True,False,False
IN Brain-0315(a),False,True,False
IN Brain-0249,False,True,False
IN Brain-0050(a),False,True,False
IN Brain-0012(a),False,True,False
IN Brain-0239(b),False,True,False
IN Brain-0150,False,True,False
IN Brain-0086(a),False,True,False
IN Brain-0259(a),False,True,False
IN Brain-0115,False,True,False
IN Brain-0224,False,True,False
IN Brain-0165,False,True,False
IN Brain-0225,False,True,False
IN Brain-0351,False,True,False
IN Brain-0284(a),False,True,False
IN Brain-0106,False,True,False
IN Brain-0118(a),False,True,False
IN Brain-0063(c),False,True,False
IN Brain-0305,False,True,False
IN Brain-0209(b),False,True,False
IN Brain-0072(b),False,True,False
IN Brain-0101,False,True,False
IN Brain-0116(a),False,True,False
IN Brain-0135,False,True,False
IN Brain-0322,False,True,False
IN Brain-0008(b),False,True,False
IN Brain-0094(f),False,True,False
IN Brain-0190,False,True,False
IN Brain-0120,False,True,False
IN Brain-0344,False,True,False
IN Brain-0290(b),False,True,False
IN Brain-0356,False,True,False
IN Brain-0085(c),False,True,False
IN Brain-0192(b),False,True,False
IN Brain-0041(a),False,True,False
IN Brain-0072(d),False,True,False
IN Brain-0085(d),False,True,False
IN Brain-0327(a),False,True,False
IN Brain-0193(b),False,True,False
IN Brain-0297(a),False,True,False
IN Brain-0214,False,True,False
IN Brain-0243,False,True,False
IN Brain-0058(b),False,True,False
IN Brain-0359,False,True,False
IN Brain-0340,False,True,False
IN Brain-0329(a),False,True,False
IN Brain-0161(b),False,True,False
IN Brain-0056,False,True,False
IN Brain-0126,False,True,False
IN Brain-0253(b),False,False,True
IN Brain-0108(c),False,False,True
IN Brain-0076,False,False,True
IN Brain-0044(b),False,False,True
IN Brain-0315(b),False,False,True
IN Brain-0176(b),False,False,True
IN Brain-0108(b),False,False,True
IN Brain-0321(b),False,False,True
IN Brain-0062(a),False,False,True
IN Brain-0325(a),False,False,True
IN Brain-0060,False,False,True
IN Brain-0158(b),False,False,True
IN Brain-0271(a),False,False,True
IN Brain-0092(a),False,False,True
IN Brain-0221,False,False,True
IN Brain-0317(b),False,False,True
IN Brain-0036(b),False,False,True
IN Brain-0255(b),False,False,True
IN Brain-0039,False,False,True
IN Brain-0256(a),False,False,True
IN Brain-0048,False,False,True
IN Brain-0142,False,False,True
IN Brain-0341,False,False,True
IN Brain-0116(b),False,False,True
IN Brain-0223,False,False,True
IN Brain-0157,False,False,True
IN Brain-0347,False,False,True
IN Brain-0339,False,False,True
IN Brain-0205,False,False,True
IN Brain-0193(a),False,False,True
IN Brain-0327(b),False,False,True
IN Brain-0148,False,False,True
IN Brain-0226,False,False,True
IN Brain-0163(b),False,False,True
IN Brain-0173(a),False,False,True
IN Brain-0310,False,False,True
IN Brain-0268,False,False,True
IN Brain-0338,False,False,True
IN Brain-0191(b),False,False,True
IN Brain-0345,False,False,True
IN Brain-0296(a),False,False,True
IN Brain-0104(c),False,False,True
IN Brain-0211,False,False,True
IN Brain-0160(b),False,False,True
IN Brain-0349,False,False,True
IN Brain-0335,False,False,True
IN Brain-0058(a),False,False,True
IN Brain-0203,False,False,True
