,train,val,test
372,IN Brain-0318(a),,
373,IN Brain-0320,,
374,IN Brain-0329(a),,
375,IN Brain-0329(b),,
376,IN Brain-0330(a),,
377,IN Brain-0330(b),,
378,IN Brain-0334(a),,
379,IN Brain-0334(b),,
380,IN Brain-0335,,
381,IN Brain-0340,,
382,IN Brain-0348,,
383,IN Brain-0352,,
384,IN Brain-0359,,
385,IN Brain-0361,,
